出版社,年級,學期,冊次,課次,均一知識樹slug,均一知識樹URL,均一現有label,WordGym label,WordGym URL (GCS),全課複習 anchor
南一,七年級,114一上,B1,U6,n-j-114-vocab-b1-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/n-j-vocab-7/n-j-114-vocab-b1/n-j-114-vocab-b1-u6,N-J-114B1U6,NI_B1_U6,https://www.jutor.ai/event/wordgym/index.html?label=NI_B1_U6#/,#topic-page-anchor-n-j-114-vocab-b1-u6-s2
南一,七年級,114一下,B2,U1,n-j-114-vocab-b2-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/n-j-vocab-7/n-j-114-vocab-b2/n-j-114-vocab-b2-u1,N-J-114B2U1,NI_B2_U1,https://www.jutor.ai/event/wordgym/index.html?label=NI_B2_U1#/,#topic-page-anchor-n-j-114-vocab-b2-u1-s2
南一,七年級,114一下,B2,U2,n-j-114-vocab-b2-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/n-j-vocab-7/n-j-114-vocab-b2/n-j-114-vocab-b2-u2,N-J-114B2U2,NI_B2_U2,https://www.jutor.ai/event/wordgym/index.html?label=NI_B2_U2#/,#topic-page-anchor-n-j-114-vocab-b2-u2-s2
南一,七年級,114一下,B2,U3,n-j-114-vocab-b2-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/n-j-vocab-7/n-j-114-vocab-b2/n-j-114-vocab-b2-u3,N-J-114B2U3,NI_B2_U3,https://www.jutor.ai/event/wordgym/index.html?label=NI_B2_U3#/,#topic-page-anchor-n-j-114-vocab-b2-u3-s2
南一,七年級,114一下,B2,U4,n-j-114-vocab-b2-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/n-j-vocab-7/n-j-114-vocab-b2/n-j-114-vocab-b2-u4,N-J-114B2U4,NI_B2_U4,https://www.jutor.ai/event/wordgym/index.html?label=NI_B2_U4#/,#topic-page-anchor-n-j-114-vocab-b2-u4-s2
南一,七年級,114一下,B2,U5,n-j-114-vocab-b2-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/n-j-vocab-7/n-j-114-vocab-b2/n-j-114-vocab-b2-u5,N-J-114B2U5,NI_B2_U5,https://www.jutor.ai/event/wordgym/index.html?label=NI_B2_U5#/,#topic-page-anchor-n-j-114-vocab-b2-u5-s2
南一,七年級,114一下,B2,U6,n-j-114-vocab-b2-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/n-j-vocab-7/n-j-114-vocab-b2/n-j-114-vocab-b2-u6,N-J-114B2U6,NI_B2_U6,https://www.jutor.ai/event/wordgym/index.html?label=NI_B2_U6#/,#topic-page-anchor-n-j-114-vocab-b2-u6-s2
南一,八年級,114二上,B3,U1,n-j-114-vocab-b3-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/n-j-vocab-8/n-j-114-vocab-b3/n-j-114-vocab-b3-u1,N-J-114B3U1,NI_B3_U1,https://www.jutor.ai/event/wordgym/index.html?label=NI_B3_U1#/,#topic-page-anchor-n-j-114-vocab-b3-u1-s2
南一,八年級,114二上,B3,U2,n-j-114-vocab-b3-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/n-j-vocab-8/n-j-114-vocab-b3/n-j-114-vocab-b3-u2,N-J-114B3U2,NI_B3_U2,https://www.jutor.ai/event/wordgym/index.html?label=NI_B3_U2#/,#topic-page-anchor-n-j-114-vocab-b3-u2-s2
南一,八年級,114二上,B3,U3,n-j-114-vocab-b3-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/n-j-vocab-8/n-j-114-vocab-b3/n-j-114-vocab-b3-u3,N-J-114B3U3,NI_B3_U3,https://www.jutor.ai/event/wordgym/index.html?label=NI_B3_U3#/,#topic-page-anchor-n-j-114-vocab-b3-u3-s2
南一,八年級,114二上,B3,U4,n-j-114-vocab-b3-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/n-j-vocab-8/n-j-114-vocab-b3/n-j-114-vocab-b3-u4,N-J-114B3U4,NI_B3_U4,https://www.jutor.ai/event/wordgym/index.html?label=NI_B3_U4#/,#topic-page-anchor-n-j-114-vocab-b3-u4-s2
南一,八年級,114二上,B3,U5,n-j-114-vocab-b3-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/n-j-vocab-8/n-j-114-vocab-b3/n-j-114-vocab-b3-u5,N-J-114B3U5,NI_B3_U5,https://www.jutor.ai/event/wordgym/index.html?label=NI_B3_U5#/,#topic-page-anchor-n-j-114-vocab-b3-u5-s2
南一,八年級,114二上,B3,U6,n-j-114-vocab-b3-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/n-j-vocab-8/n-j-114-vocab-b3/n-j-114-vocab-b3-u6,N-J-114B3U6,NI_B3_U6,https://www.jutor.ai/event/wordgym/index.html?label=NI_B3_U6#/,#topic-page-anchor-n-j-114-vocab-b3-u6-s2
南一,八年級,114二下,B4,U1,n-j-114-vocab-b4-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/n-j-vocab-8/n-j-114-vocab-b4/n-j-114-vocab-b4-u1,N-J-114B4U1,NI_B4_U1,https://www.jutor.ai/event/wordgym/index.html?label=NI_B4_U1#/,#topic-page-anchor-n-j-114-vocab-b4-u1-s2
南一,八年級,114二下,B4,U2,n-j-114-vocab-b4-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/n-j-vocab-8/n-j-114-vocab-b4/n-j-114-vocab-b4-u2,N-J-114B4U2,NI_B4_U2,https://www.jutor.ai/event/wordgym/index.html?label=NI_B4_U2#/,#topic-page-anchor-n-j-114-vocab-b4-u2-s2
南一,八年級,114二下,B4,U3,n-j-114-vocab-b4-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/n-j-vocab-8/n-j-114-vocab-b4/n-j-114-vocab-b4-u3,N-J-114B4U3,NI_B4_U3,https://www.jutor.ai/event/wordgym/index.html?label=NI_B4_U3#/,#topic-page-anchor-n-j-114-vocab-b4-u3-s2
南一,八年級,114二下,B4,U4,n-j-114-vocab-b4-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/n-j-vocab-8/n-j-114-vocab-b4/n-j-114-vocab-b4-u4,N-J-114B4U4,NI_B4_U4,https://www.jutor.ai/event/wordgym/index.html?label=NI_B4_U4#/,#topic-page-anchor-n-j-114-vocab-b4-u4-s2
南一,八年級,114二下,B4,U5,n-j-114-vocab-b4-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/n-j-vocab-8/n-j-114-vocab-b4/n-j-114-vocab-b4-u5,N-J-114B4U5,NI_B4_U5,https://www.jutor.ai/event/wordgym/index.html?label=NI_B4_U5#/,#topic-page-anchor-n-j-114-vocab-b4-u5-s2
南一,八年級,114二下,B4,U6,n-j-114-vocab-b4-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/n-j-vocab-8/n-j-114-vocab-b4/n-j-114-vocab-b4-u6,N-J-114B4U6,NI_B4_U6,https://www.jutor.ai/event/wordgym/index.html?label=NI_B4_U6#/,#topic-page-anchor-n-j-114-vocab-b4-u6-s2
南一,九年級,114三上,B5,U1,n-j-114-vocab-b5-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/n-j-vocab-9/n-j-114-vocab-b5/n-j-114-vocab-b5-u1,N-J-114B5U1,NI_B5_U1,https://www.jutor.ai/event/wordgym/index.html?label=NI_B5_U1#/,#topic-page-anchor-n-j-114-vocab-b5-u1-s2
南一,九年級,114三上,B5,U2,n-j-114-vocab-b5-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/n-j-vocab-9/n-j-114-vocab-b5/n-j-114-vocab-b5-u2,N-J-114B5U2,NI_B5_U2,https://www.jutor.ai/event/wordgym/index.html?label=NI_B5_U2#/,#topic-page-anchor-n-j-114-vocab-b5-u2-s2
南一,九年級,114三上,B5,U3,n-j-114-vocab-b5-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/n-j-vocab-9/n-j-114-vocab-b5/n-j-114-vocab-b5-u3,N-J-114B5U3,NI_B5_U3,https://www.jutor.ai/event/wordgym/index.html?label=NI_B5_U3#/,#topic-page-anchor-n-j-114-vocab-b5-u3-s2
南一,九年級,114三上,B5,U4,n-j-114-vocab-b5-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/n-j-vocab-9/n-j-114-vocab-b5/n-j-114-vocab-b5-u4,N-J-114B5U4,NI_B5_U4,https://www.jutor.ai/event/wordgym/index.html?label=NI_B5_U4#/,#topic-page-anchor-n-j-114-vocab-b5-u4-s2
南一,九年級,114三上,B5,U5,n-j-114-vocab-b5-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/n-j-vocab-9/n-j-114-vocab-b5/n-j-114-vocab-b5-u5,N-J-114B5U5,NI_B5_U5,https://www.jutor.ai/event/wordgym/index.html?label=NI_B5_U5#/,#topic-page-anchor-n-j-114-vocab-b5-u5-s2
南一,九年級,114三上,B5,U6,n-j-114-vocab-b5-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/n-j-vocab-9/n-j-114-vocab-b5/n-j-114-vocab-b5-u6,N-J-114B5U6,NI_B5_U6,https://www.jutor.ai/event/wordgym/index.html?label=NI_B5_U6#/,#topic-page-anchor-n-j-114-vocab-b5-u6-s2
南一,九年級,114三下,B6,U1,n-j-114-vocab-b6-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/n-j-vocab-9/n-j-114-vocab-b6/n-j-114-vocab-b6-u1,N-J-114B6U1,NI_B6_U1,https://www.jutor.ai/event/wordgym/index.html?label=NI_B6_U1#/,#topic-page-anchor-n-j-114-vocab-b6-u1-s2
南一,九年級,114三下,B6,U2,n-j-114-vocab-b6-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/n-j-vocab-9/n-j-114-vocab-b6/n-j-114-vocab-b6-u2,N-J-114B6U2,NI_B6_U2,https://www.jutor.ai/event/wordgym/index.html?label=NI_B6_U2#/,#topic-page-anchor-n-j-114-vocab-b6-u2-s2
南一,九年級,114三下,B6,U3,n-j-114-vocab-b6-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/n-j-vocab-9/n-j-114-vocab-b6/n-j-114-vocab-b6-u3,N-J-114B6U3,NI_B6_U3,https://www.jutor.ai/event/wordgym/index.html?label=NI_B6_U3#/,#topic-page-anchor-n-j-114-vocab-b6-u3-s2
南一,九年級,114三下,B6,U4,n-j-114-vocab-b6-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/n-j-vocab-9/n-j-114-vocab-b6/n-j-114-vocab-b6-u4,N-J-114B6U4,NI_B6_U4,https://www.jutor.ai/event/wordgym/index.html?label=NI_B6_U4#/,#topic-page-anchor-n-j-114-vocab-b6-u4-s2
